stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,4.09,57.21,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,8.56,1.07,0,0,0,19.26,0,0,0,0,0,0
21Day,0,1.34,0,0,0,1.34,0,1.34,0,0,0,0,1.34,0,0,1.34,9.37,2.68,0,0,0,155.27,1.34,1.34,5.35,0,0,0
3Month,0.32,4.8,0,0.32,0.32,3.2,0.64,0,1.28,0,0.64,0.32,0.64,0.32,0,0,0,0,0,0.32,0,2.24,0,0.64,0,0.32,0.32,0.32
22Month,0.55,1.09,0.55,0,2.19,24.05,0.55,0,5.47,0.55,0,2.19,3.28,0,1.64,0,0,0,0.55,0,0.55,0.55,0,1.09,0,0.55,0,0.55
