stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,5.35,2.14,0,8.56,1.07,1.07,0,0,0,2.14,0,0,0,0,0,1.07,14.98,1.07,36.37,0,42.79,0,111.26,26.74,0,0,0,19.26,0,0,4.28,747.78,807.69,2.14,0,0,0
21Day,32.12,4.02,5.35,103.07,5.35,46.85,0,6.69,0,4.02,0,26.77,1.34,14.72,13.39,6.69,54.88,18.74,133.85,1.34,49.53,1.34,131.18,36.14,2.68,2.68,0,50.86,33.46,0,12.05,1529.94,6639.12,5.35,1.34,0,22.76
3Month,0,5.44,0,2.88,0,0,0,0,0.64,1.6,0,8,0.64,0,1.28,0.32,0.96,1.92,8.32,0,17.28,0.32,0.64,0,0.32,0,0,0.96,0,18.56,0,0.32,0,0,1.92,0.64,0.32
22Month,1.09,8.75,0,2.73,0,0,0.55,0,0,6.01,0.55,43.19,2.73,0.55,2.19,0,2.73,2.73,8.2,0,16.95,0.55,0.55,1.09,0.55,0,0.55,0,0,15.31,0.55,19.13,3.28,0,1.64,0,0.55
