stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell
24hpf,4.09,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,1.07,0,35.3,2.14,0,3.21,0,0,1.07,0
21Day,0,1.34,0,0,0,0,0,0,9.37,0,21.42,1.34,0,4.02,1.34,0,1.34,0
3Month,0.64,0.32,0.64,0.32,0.32,0.32,0,0,1.92,0,0,0.64,0.32,0,0,1.6,0,0.64
22Month,1.09,1.09,0.55,6.01,0,0.55,0,0.55,0.55,0.55,0,0,0.55,0,0.55,0,0,0
