stage,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0,0,0.32,0,0.32,0,0,0,0.32,0.96
22Month,2.19,0,1.09,4.37,0,0.55,0,6.01,0,1.09,6.01,0.55
