stage,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4.09,0,28.6,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,2.14,0,0,0,0,0,0
21Day,1.34,0,0,0,0,6.69,1.34,1.34,0,1.34,0,1.34
3Month,0,0,0,0.32,0.32,0.96,0,0,0.32,0,0,0
22Month,0,3.83,0,0,0,1.09,0,0,0,0,0.55,0
