stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
21Day,0,0,1.34,0,0,1.34,0,0,14.72,0,0,0,0,0,1.34,1.34,0,0,1.34,0,0
3Month,0,0,0,0,0,0,0.32,0,0.32,0,23.36,0,0,0,0,8.32,0,0,0.32,0.32,0.32
22Month,2.19,0.55,10.93,0.55,0.55,12.03,55.76,1.64,30.61,0.55,251.46,18.04,1.09,0.55,0,0,2.19,4.37,0,0,79.26
