stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,183.89,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,236.42,0,0,1.07,1.07,0,0,0,0,0,0,0,2.14,1.07,0,4.28,0,0,0,0,12.84,11.77,0,0,6.42,0,0,5.35,0,0,4.28,0,0,0
21Day,133.85,1.34,0,4.02,0,0,0,0,1.34,0,0,0,0,5.35,0,6.69,0,0,0,0,9.37,1.34,0,0,13.39,1.34,0,2.68,0,2.68,0,0,0,2.68
3Month,2.24,0.32,0.64,4.8,0,0.64,0.64,0.32,18.56,0,0.32,2.24,0,0.64,0.64,4.48,0.96,0,0.32,0.64,0.32,0,0.32,0,0.64,1.6,33.27,0,0,0,0,0.64,15.04,1.28
22Month,2.73,0.55,4.37,3.28,0,1.09,1.09,4.37,301.21,1.09,0,11.48,0.55,1.09,1.64,8.75,0.55,4.37,0,0.55,1.64,0,0,1.09,0.55,0,22.41,0.55,0.55,0,0,0,0,1.09
