stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,1.07,0,0,1.07,0,13.91,0,0,2.14,24.61,0,0,4.28,0,0,0,0
21Day,0,0,0,0,0,0,0,2.68,0,0,0,0,5.35,0,0,0,2.68,0,0,0,0,0,0,1.34
3Month,0,0.64,2.56,0.32,4.16,21.76,0.32,1.6,0.96,0.32,0.32,2.24,2.24,0,3.2,0.64,0,0,0,0,0.64,2.56,0.32,1.6
22Month,0,0.55,2.73,0,2.19,9.84,0,0,1.64,0,0,4.37,1.09,1.09,0,0,0,0.55,1.64,0,0,4.92,0,0
