stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,3.21,0,0,0,0
21Day,1.34,0,1.34,1.34,0,0,0,0,0,0,1.34,1.34,0,1.34
3Month,0,0,0,0,0,0,0.32,0,0,0,0.32,0.64,0.32,0
22Month,0,0,0,0,2.73,0.55,0,0,0,0,0,13.67,0,0
