stage,Endothelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,18.19,0,0
21Day,0,0,0,0,1.34,0,0,0,18.74,0,0
22Month,0.55,0.55,12.57,0.55,0,1.09,0.55,0.55,0,0.55,1.09
