stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,4.09,12.26,77.64,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,3.21,3.21,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,1.07,0,44.93,18.19,0,1.07,14.98,0,0,4.28,0,0,5.35,0,0
21Day,0,1.34,0,12.05,0,1.34,0,0,0,0,0,0,1.34,0,2.68,0,14.72,0,0,5.35,0,6.69,2.68,0,0,1.34,1.34,6.69,0,0,1.34,0,0,0
3Month,0,1.28,0,9.6,0,0,0,0.64,2.88,0.32,7.04,0.96,0,1.6,2.56,0.64,18.88,15.36,0,0.96,2.24,0.96,0,1.28,0.32,4.48,1.6,94.39,0,0,0,0,68.79,0.96
22Month,0.55,1.09,0.55,2.73,0,0,0.55,0.55,7.11,0.55,18.59,1.09,0.55,0,1.64,1.09,43.73,4.37,1.64,3.28,0.55,3.83,0.55,1.09,1.09,2.73,0,25.69,0,1.09,0,0,0,0
