stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,8.17,0,8.17,0,0,0,0,8.17,110.33,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,2.14,0,1.07,0,3.21,0,0,1.07,0,0,0,0,0,3.21,4.28,2.14,93.07,0,0,1.07,0,171.17,39.58,0,0,0,9.63,0,0,16.05,0,0,0,0,0
21Day,2.68,0,0,4.02,0,4.02,0,0,0,0,0,0,1.34,1.34,0,2.68,2.68,21.42,0,0,0,0,95.04,8.03,0,1.34,0,2.68,0,0,5.35,0,1.34,0,0,1.34
3Month,0,0.96,1.28,16.32,0.32,0,0,2.56,0,0,2.88,2.56,0.32,1.6,2.24,5.44,2.56,6.4,3.52,0,0.32,1.92,71.67,0.32,0.96,0,0,0.64,0.64,44.47,0,0.32,0,1.6,98.54,2.24
22Month,0,2.73,1.64,8.75,0,0,2.19,3.28,0.55,0,12.57,0.55,0.55,3.28,0,0.55,7.11,8.75,6.01,1.09,0,0.55,63.41,0.55,1.64,0.55,0.55,0,0,16.95,0,1.09,0,1.09,0.55,0
