stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,3.21,0,1.07,5.35,10.7,8.56,0,0,1.07,0,0,0,0,0
21Day,0,1.34,8.03,0,2.68,0,1.34,0,0,0,0,0,0,0,1.34,0,0,5.35,5.35,4.02,1.34,0,0,1.34,1.34,0,0,0
3Month,0,0,4.8,0,0,0.32,0,0,0.64,0,5.76,1.28,0,1.6,0,0.64,1.6,0.64,0.32,0,0,0,5.12,0,0,0.32,3.52,0.96
22Month,1.09,0,0,0,0,0,0,0.55,0,1.09,9.29,0,1.09,2.73,0,0,1.09,0,0,0,0,0.55,1.09,0,0,0,0,0.55
