stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,12.26,4.09,0,28.6,4.09,0,0,0,0,8.17,0,0,0,0,4.09,12.26,53.12,0,0,8.17,408.64,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,5.35,0,1.07,0,0,0,0,0,2.14,0,4.28,6.42,0,12.84,0,1.07,18.19,31.02,0,4.28,0,0,0,0,0,0
21Day,6.69,1.34,0,10.71,0,24.09,13.39,0,0,0,0,6.69,0,0,1.34,2.68,6.69,0,1.34,2.68,9.37,0,1.34,4.02,0,0,1.34,0,0
3Month,0,0.32,0.32,1.6,0,0,0.32,0.32,0.96,0,8,0,1.92,0,0.64,0.32,0.64,0,0.32,0,0.32,0.32,0,0.64,0.32,2.56,0,0.32,0.32
22Month,0,0,0,0.55,0,0,0,0.55,0,0,2.73,0.55,6.01,0,0,0,1.64,0.55,0,0,0,0,0,0.55,0,4.92,0,0,0
