stage,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,3.21,0,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,5.35,0,1.34,0,0,0
3Month,0,0.32,0.32,0.32,0,0.32,0.32,0,0,0,0,0.32,0,0
22Month,1.09,0,1.09,7.65,0.55,0,0,0.55,0,0,0,0,0.55,0.55
