stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,69.47,0,0,4.09,32.69,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,27.81,0,0,16.05,13.91,0,6.42,0,0,0,0,0
21Day,2.68,0,0,1.34,0,0,0,0,0,0,0,0,69.6,1.34,1.34,2.68,1.34,0,2.68,0,0,1.34,0,0
3Month,0,0,0,0.96,0.32,0,0.32,0.32,0.64,0,0.32,0,1.28,0,0,0,0.32,0,0,0,0.32,0,0.32,0.32
22Month,0,0.55,0.55,0.55,0,0.55,57.4,8.75,0,1.64,0.55,1.09,2.73,0,0.55,0,0,0.55,0,0.55,0,0,0,0
