stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Oligodendrocyte,Osteoblast,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0
21Day,1.34,1.34,0,1.34,0,10.71,0,0,0,1.34,0,0,0,6.69
3Month,0,0.32,0.32,0,0.96,0.32,0.32,0.32,0.64,0.32,0.32,0,0.32,11.2
22Month,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0.55
