stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,6.42,0,0,0,0,0,0,0,0,0,0,5.35,1.07,4.28,1.07,1.07,0,23.54,6.42,0,0,3.21,0,0,0,1.07,0,0,0,0
21Day,0,0,0,10.71,0,5.35,0,0,0,0,0,2.68,0,0,0,0,2.68,4.02,6.69,0,1.34,0,9.37,2.68,0,1.34,0,0,0,2.68,1.34,0,0,0,2.68
3Month,0,1.92,0.32,16,0,0,0,0.32,1.92,2.56,0,31.67,3.52,0.96,8.64,0.32,3.84,3.84,3.84,0,0.64,0.32,0.32,0.32,1.28,0,0,1.28,1.6,0,0,0,0.96,0.96,2.24
22Month,0.55,2.19,0,2.73,0.55,0,0.55,0,1.64,0,0.55,55.21,1.09,1.64,7.65,0,1.64,3.28,2.73,2.19,0.55,0.55,0,0,1.09,0,0,0,0.55,0,0,0.55,0.55,0,1.64
