stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,126.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,1.07,0,1.07,0,0,4.28,0,0,1.07,20.33,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,2.68,1.34,0,0,0,5.35,0,9.37,21.42,0,0,2.68,29.45,0,0,0,0,0,1.34,1.34,0,0,1.34,1.34,0,0,0,0,0,0,5.35
3Month,0.64,0.96,2.88,0,0.64,0.32,0.96,97.58,7.36,394.82,1.6,1.28,0.32,1.28,72.63,3.52,0.64,0.32,0.32,0.32,0.64,0,0.32,0,0.64,0.96,1.6,2.24,0.32,0,0.64,1.28,12.8
22Month,0,0.55,2.73,0,3.28,0.55,0.55,238.34,16.95,161.26,6.56,2.73,0.55,0,139.4,1.09,0,0,0,0,0.55,0,0,1.64,0,0,0.55,1.09,0,2.19,0,0,10.93
