stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,1.07,0,10.7,0,0,22.47,0,0,0,0,0,0,0
21Day,0,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,33.46,0,0,25.43,0,5.35,1.34,0,26.77,0,0,0,0,0,0,0
3Month,0.32,0.32,6.4,0,0,0.32,0.96,2.88,0,8.64,1.6,2.24,0.32,1.6,0.64,130.54,4.16,0,1.28,0.64,0,0,0,0.32,0.64,32.95,0.32,0.32,0.64,40.95,0.64
22Month,2.73,1.09,1.64,0,0,3.28,1.09,3.28,0.55,30.61,2.19,3.28,0.55,2.19,2.19,239.98,1.09,2.19,0,0,0,0.55,0.55,1.09,0,12.57,1.64,0,0,1.09,1.09
