stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
24hpf,0,0,0,0,0,8.17,0,0,0
72hpf,2.14,0,0,0,2.14,0,0,0,0
21Day,0,0,0,0,0,1.34,1.34,4.02,0
3Month,0,0.32,0.96,0.32,0,0,0,0.96,1.28
22Month,0,0,0.55,0,0,0,0,2.73,0
