stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,42.79,0,0,0,0,0,0,0,0,0,0,0,0,13.91,2.14,1.07,0,0,0
21Day,72.28,0,1.34,2.68,1.34,0,0,0,0,4.02,2.68,1.34,0,2.68,1.34,0,1.34,0,1.34
3Month,17.6,0.96,0.32,0,0,0.96,0.32,0.64,0.64,0,0,0.64,0,0,0,0,0,0.64,0.96
22Month,4.37,0,0,0,0,0.55,1.09,0.55,0,0,0,0,0.55,0,0,0,0,0,0
