stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,32.69,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,0,0,2.14,0,2.14,0,0,0,35.3,4.28,0,0,0,0,0,1.07,4.28,1.07,1.07,0,0
21Day,1.34,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,21.42,5.35,0,1.34,4.02,2.68,0,0,5.35,4.02,0,0,1.34
3Month,0,0.64,5.76,0.32,0,0.32,0.32,0.32,0.64,0.64,0.32,0.32,0.96,1.6,0.64,2.88,0.96,0.96,0.32,0.32,0,0.32,0,0,0,8,0,0,0,0,7.36,0.96
22Month,0,1.09,2.19,0,0,0,0,1.64,0.55,7.11,0.55,0,0.55,0,1.64,2.73,0,0.55,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
