stage,Cardiomyocyte,Epithelial_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neurosecretory_cell,Radial_glia
72hpf,0,1.07,0,13.91,0,0,0,1.07,0,0
21Day,1.34,33.46,0,13.39,0,5.35,0,0,1.34,1.34
3Month,0,4.48,0,1.6,0.64,2.88,0.96,0,0,0
22Month,0,0,0.55,0,0,1.09,0,0,0,0
