stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,8.17,4.09,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,8.17,69.47,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,4.28,9.63,1.07,0,0,0,0,0,0,0,0,4.28,7.49,0,9.63,0,0,148.7,23.54,2.14,3.21,11.77,0,0,49.21,0,1.07,3.21,0
21Day,2.68,1.34,20.08,2.68,4.02,5.35,1.34,0,0,0,0,5.35,1.34,1.34,12.05,4.02,26.77,1.34,0,112.44,10.71,1.34,4.02,20.08,4.02,1.34,18.74,2.68,2.68,1.34,2.68
3Month,0,0,3.52,1.6,0,0,0,0.32,0,3.84,0.64,0,0,0,0.64,0,0.32,0,0.64,0,0,1.6,0.64,0.32,0.32,1.92,0,0,0,0,0.32
22Month,0,0,2.19,0,0,0,0,0,2.73,7.11,0,0,2.73,0,1.09,0,1.09,0,0,0,0,1.64,0,0,0.55,1.09,0,0.55,0,0,0.55
