stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,4.09,0,0,0,0,36.78,0,0
72hpf,2.14,0,0,0,0,0,0,2.14,0,0,0,2.14,1.07,1.07,0
21Day,0,0,0,0,0,4.02,0,0,1.34,0,0,1.34,0,0,17.4
3Month,0,0.64,0.96,0.32,0.64,0,0.64,0.32,0.32,0.64,0.32,0,0,0,19.52
22Month,0,0.55,0,1.09,0,0,0,0,0,0,0,0,0,0,0
