stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,2.14,6.42,5.35,0,0,0,1.07,3.21,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,5.35,0,0,0,0,0,0,0,0,0,0,0,10.71,21.42,0,0,1.34,0,4.02,1.34,0,1.34,0,0,0,2.68,0,0,0
3Month,0.64,0.32,0.32,19.84,0.32,0.32,0.32,7.68,20.16,0,4.8,23.68,0,2.56,0.64,11.84,97.26,5.76,0,1.6,0,0,0,0.32,0.64,0,1.6,0.32,0,0.64,0.96,6.72
22Month,0,1.64,0,7.11,0,0,0,1.09,14.21,6.01,39.91,2.19,0.55,0.55,1.09,1.09,63.41,2.19,0.55,0,0.55,0,0,0,0,2.73,0.55,0,0,0,0,3.83
