stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,1.07,85.58,1.07,0,0,0,0,0,0,17.12,8.56,0,0
21Day,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,10.71,0,0,0,0,2.68,0,1.34,6.69,20.08,0,0
3Month,1.6,0,0,0,10.56,0.32,1.6,0.32,0,0.32,0,0.32,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0.64,0.32
22Month,1.64,0.55,3.28,0.55,58.49,0.55,0,0.55,1.09,0.55,1.64,0,3.28,0.55,0,1.09,0,1.09,0.55,0.55,0,4.37,0,2.19,0,0,1.09
