stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,12.26,0,0,0,0,0,0,0,0,0,0,8.17,0,0,16.35,0,0,0,4.09,0,85.81,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,1.07,6.42,0,0,0,0,0,0,0,0,0,0,5.35,2.14,0,6.42,0,0,0,2.14,53.49,16.05,0,1.07,0,7.49,0,0,2.14,0,0,0,0
21Day,6.69,0,12.05,1.34,1.34,0,0,0,0,0,0,1.34,1.34,0,13.39,0,9.37,0,1.34,1.34,0,17.4,16.06,0,0,0,1.34,1.34,0,0,1.34,1.34,0,1.34
3Month,0.32,0.64,8.32,0,0,0.32,0.64,1.28,0,15.04,3.2,0.32,1.28,3.2,1.28,1.28,3.84,0.32,0,0.32,4.8,28.48,0.32,0.32,0,0,0,0.32,5.12,0,0,0,3.2,0.64
22Month,0,0,8.75,0,0,0.55,2.19,1.09,3.83,28.97,0.55,0.55,4.92,0,1.09,2.19,8.2,0.55,1.64,0,0,20.23,0.55,0,0,0.55,0,0,1.64,0,0,0,0,0
