stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0
72hpf,0,1.07,0,0,0,0,0,1.07,6.42,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,9.37,0,1.34,1.34
3Month,0.64,0,0,1.28,0.32,2.88,0.32,0,0.64,0,0,0
22Month,0,0,0,1.09,0,0,0,0,0,0,0,0
