stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Hatching_gland,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,114.42,77.64,686.52,0,4.09,0,77008.29,0,8.17,49.04,192.06,134.85,449.5,4.09,0,8.17,290.13,4249.86,4.09,49.04,0,0,4.09,0,0
72hpf,4.28,0,225.73,3.21,2.14,0,60.98,0,0,0,2.14,0,4.28,0,1.07,0,23.54,13.91,0,10.7,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,1.34,0,0,0,1.34
3Month,0,0,0.64,0,0,0.32,0,0.64,0.32,0,0,0,1.28,0,0,0,0,0,0,0,0,8.32,0,6.08,0
22Month,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0
