stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,T_cell
24hpf,0,0,0,0,0,4.09,0,4.09,4.09,0,0,0,0
72hpf,0,0,0,0,0,2.14,0,49.21,3.21,0,1.07,1.07,0
21Day,1.34,0,1.34,0,0,1.34,0,30.79,1.34,1.34,0,0,0
3Month,0,0.32,0,0,0,0,0,0,0,0,0,0,0.32
22Month,1.64,0.55,0,3.83,0.55,0.55,1.09,0,0,0,0,0,0
