stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,73.56,0,0,0,0,134.85,0,0,0,0,0,0,175.72,0,0,0
72hpf,14.98,1.07,0,43.86,106.98,19.26,0,0,0,0,1.07,0,0,0,3.21,0,2.14,172.24,0,464.29,0,7.49,0,64.19,42.79,0,16.05,0,0,9.63,0,302.75,0,0,0
21Day,22.76,0,1.34,261.01,70.94,37.48,0,13.39,0,0,0,0,0,4.02,2.68,5.35,5.35,291.8,5.35,183.38,0,8.03,0,25.43,17.4,1.34,10.71,10.71,0,1.34,2.68,18.74,0,0,4.02
3Month,0.96,2.56,0.32,148.78,39.03,0,3.84,3.2,1.92,1.28,2.24,0,14.4,2.24,0.96,6.72,2.88,80.95,5.76,5.44,0.32,1.28,0.96,1.28,2.24,0.96,2.56,1.92,39.03,0.32,0,55.99,16.32,6.08,1.92
22Month,0,1.64,0,47.56,1.09,0,0,0,0,0,0.55,3.28,14.21,1.09,0,0.55,1.64,26.79,0,9.84,2.73,0,0,0,0,1.09,0.55,0,20.23,0,0,0,0.55,0,0.55
