stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,4.09,310.57,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,6.42,0,5.35,0,0,0,0,0,0,0,1.07,0,0,12.84,3.21,6.42,1.07,0,1100.82,132.65,0,9.63,20.33,0,0,18.19,0,3.21,0,0,0
21Day,4.02,1.34,0,13.39,1.34,4.02,0,0,0,0,0,0,0,2.68,0,1.34,1.34,0,12.05,0,0,315.89,41.49,0,8.03,1.34,9.37,1.34,16.06,4.02,2.68,0,0,2.68
3Month,0.32,0,0.32,20.16,0,0,0.32,1.6,0.64,0,0,5.12,1.6,0,1.6,1.28,5.76,0.96,3.52,0,0.64,3.2,0.32,2.24,2.24,0,0.64,5.76,1.28,0,0,1.28,24.96,1.92
22Month,0,1.09,0,6.01,0.55,0,0,0,2.73,0.55,0,12.57,2.73,1.09,1.09,0,2.19,1.09,2.73,1.09,0,0.55,0.55,2.19,2.73,0,0.55,1.09,0.55,0,0,0.55,0,2.19
