stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,4.09,0,20.43,0,0,0,8.17,0,0,0,0,57.21,102.16,49.04,0,16.35,241.1,0,0,4.09,4.09,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,8.56,0,0,4.28,1.07,1.07,0,1.07,0,0
21Day,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0
22Month,0,1.64,0.55,2.19,0,4.37,0.55,0,14.76,1.64,0.55,0.55,1.64,0.55,1.64,1.64,0,0,0,217.57,0,1.09,1.64
