stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0
21Day,0,1.34,5.35,0,18.74,0,0,1.34,0,4.02,0,0,0,12.05
3Month,0.32,0,0,0.32,0.32,0.32,0.32,0.96,0.32,0,0,0.64,0.32,11.52
22Month,0,1.09,0,0,0,0,0,0,0,0,0,0,0,1.64
