stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,4.09,0,4.09,12.26,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,3.21,0,1.07,4.28,3.21,0,2.14,0,1.07,0,0
21Day,0,0,0,0,0,0,1.34,0,1.34,1.34,0,2.68,0,10.71,0,1.34,0,0,0,0
3Month,0.32,2.24,0,0.64,0.32,0.32,0,6.4,0,0.32,0,0,0,0,0.32,0,0.32,0,6.08,0.32
22Month,0.55,0.55,0.55,0,0.55,5.47,0,1.64,0,0,0.55,0.55,0,0,0,0,1.09,7.11,0,0
