stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,0,0,0,0,0,0,1.07,0,1.07,0,0,1.07,127.31,4.28,0,2.14,1.07,0,0,1.07,0,0,0,0
21Day,0,0,0,2.68,0,0,0,8.03,0,1.34,1.34,2.68,1.34,0,0,0,0,41.49,0,0,2.68,0,1.34,0,6.69,1.34,0,0,0
3Month,0,0.32,0.32,2.56,0,0,3.84,18.88,0,1.92,0,0.64,0,0.96,0.32,0,0,1.92,0,3.2,0.64,0,0,0.96,0,0,0.32,15.04,0
22Month,0,1.09,1.09,5.47,0.55,0.55,19.68,21.87,2.19,2.73,0,0.55,1.09,2.73,0.55,0.55,0,0,0,3.28,1.09,0,0,3.28,0,0,0,0,1.09
