stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269.7,20.43,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,5.35,5.35,12.84,0,3.21,0,0,0,0,0,0,4.28,28.88,0,13.91,0,1.07,0,0,1264.49,42.79,0,2.14,28.88,0,0,16.05,0,1.07,0,0,0
21Day,14.72,0,1.34,36.14,0,6.69,0,0,0,0,1.34,0,1.34,4.02,1.34,5.35,1.34,22.76,0,0,16.06,0,352.03,9.37,0,0,2.68,1.34,4.02,0,1.34,0,0,0,0
3Month,6.72,1.28,0.32,11.2,0,0,0.64,0,0.32,1.92,7.68,3.2,0,7.68,0,1.6,1.92,57.27,4.16,0.64,5.44,2.24,144.62,1.6,0.64,0.32,0,2.88,8,0.96,0,0,0.32,9.6,1.28
22Month,2.73,1.09,0,9.84,0,0,1.64,0,0.55,4.37,21.32,1.09,1.09,0,1.64,0,2.19,73.25,0,0.55,1.09,0,104.41,0.55,1.09,1.64,0,0.55,10.39,0,0,0,0,0,1.64
