stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,4.09,0,4.09,12.26,0,4.09,93.99,0,0,0,0,0,0,0,0
72hpf,0,0,4.28,1.07,0,0,0,0,0,0,5.35,0,1.07,0,37.44,17.12,1.07,3.21,1.07,0,2.14,0,0,0
21Day,2.68,0,5.35,0,1.34,0,0,2.68,0,0,2.68,0,6.69,1.34,8.03,4.02,1.34,0,0,0,0,0,0,0
3Month,0,0.32,0,0,0,0.32,0.32,0,0.32,0,0,0,0,0,0,0,0.32,0,0,0.64,0,0.32,0.64,0
22Month,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0.55
