stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,8.03,0,1.34,0,0,0,0,0,2.68,0,1.34,5.35,0,1.34,0,0,0,0,1.34,0,1.34,0,0,0,1.34
3Month,0.32,0.32,12.48,0.32,0.64,1.92,3.84,0,8.96,3.84,0.64,6.08,0.64,3.84,4.16,2.24,0.32,0,0.96,0.32,0,0.64,0.32,1.28,1.6,5.12,2.24
22Month,2.19,2.19,3.28,0.55,0,1.09,7.65,1.64,45.37,3.83,3.83,9.29,1.09,3.28,9.29,7.11,0,1.64,1.09,0,0,0.55,0,1.09,0.55,0,2.19
