stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,4.09,49.04,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,1.07,0,0,4.28,6.42,0,0,0,0,0,0,0,0,0,0
21Day,6.69,0,0,2.68,1.34,9.37,2.68,0,0,0,0,1.34,0,5.35,0,0,2.68,0,0,0,1.34,4.02,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0.32,0,2.56,0,0,0,0,0.96,4.16,0.64,0,2.24,0,0.96,0.32,0.96,0,0,0.32,0,0,0.32,0,0.96,3.52,0,0,0,0.32,3.84,1.6
22Month,0,1.09,1.64,9.29,0.55,0,0,1.09,2.73,26.79,1.09,0,2.73,0.55,0.55,2.73,3.83,3.83,0.55,0,0,0,0,0,0,4.92,1.64,1.09,0.55,0,0,1.09
