stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,T_cell
24hpf,0,0,0,0,0,4.09,0,0,4.09,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0,0,0,0,0
22Month,0.55,0.55,8.75,0.55,1.09,0,2.19,0.55,0,4.37,0.55,1.09
