stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
72hpf,1.07,0,0,2.14,0,0,0,0,0,0,2.14,0,0,0,41.72,7.49,1.07,685.74,0,0,1.07,0,3.21,0,0
21Day,2.68,0,1.34,0,4.02,0,0,1.34,0,1.34,1.34,1.34,1.34,1.34,26.77,0,1.34,203.46,1.34,0,0,4.02,0,0,0
3Month,0,0.64,1.92,0,0,0.32,0.64,2.24,0.32,0.32,1.28,0.64,23.68,0.64,0.32,0,0,24,0,0.96,0.96,0,0.32,0.64,0.32
22Month,0,0,0.55,0,0,0,0,3.28,0,1.09,0,0,0,0,0,0,0.55,2.19,0.55,0,0,0,0,0,0
