stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,53.12,0,0,0,0,0,0,0,0,28.6,0,0,0,0,0,20.43,65.38,4.09,0,0,0,0,0,69.47,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,56.7,1.07,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,7.49,2.14,1.07,0,0,0,0,18.19,8.56,0,0,0,3.21,0,1.07,0,0,0,0,0
21Day,0,0,1.34,172.67,0,4.02,0,0,0,41.49,4.02,0,0,1.34,1.34,5.35,1.34,0,10.71,6.69,5.35,0,0,1.34,0,18.74,2.68,0,1.34,0,0,4.02,0,0,2.68,0,0,4.02
3Month,0,0.96,1.92,242.52,0.64,0,0.96,0.32,0.32,955.37,14.4,0.32,0,58.55,26.24,0.32,20.8,6.72,5.44,13.44,7.04,1.6,0,14.08,3.2,1.28,0.32,2.88,0.96,0,0.32,4.16,10.88,0.64,0,0.96,6.72,7.36
22Month,0,3.28,3.83,71.07,0,0,2.19,1.09,0,479.42,57.95,4.37,0,115.89,50.29,1.09,31.71,0.55,1.64,16.95,5.47,0,1.64,7.11,0,2.19,0,3.83,0.55,19.68,0,1.64,33.89,1.64,0,0.55,0,7.11
