stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,0.32,1.6,0.32,0.32,0.32,0.32,0,1.28,29.76,0.64
