stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,1.07,0,0,0,0,0,0,0,0,1.07,0,5.35,2.14,0,0,0,38.51,1.07,1.07,2.14,0,0,0,2.14,0
21Day,0,4.02,0,9.37,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,1.34,0,0,0,0,0,0,1.34,0
3Month,0,2.24,0.32,9.92,0,0.32,0,3.2,2.88,0,11.52,0.32,0,3.2,0.64,3.52,1.6,1.28,0,0.32,0,0,0,0.64,0,0,0,0,0.64
22Month,0,3.28,0,1.64,0,0,0,0.55,2.19,0.55,32.25,0.55,0.55,3.28,0,0,1.09,0,1.64,0.55,0,0,0.55,0,0.55,0.55,0.55,2.73,0.55
