stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,16.05,82.37,5.35,0,0,0,0,0,0,0,0,0,8.56,106.98,1.07,1.07,0,0,0,0,171.17,9.63,1.07,0,0,5.35,0,0,0,0,0,0,0,0
21Day,1.34,0,36.14,32.12,4.02,0,0,0,0,0,1.34,0,0,2.68,9.37,129.84,0,1.34,0,0,1.34,0,69.6,4.02,0,0,0,2.68,1.34,0,1.34,0,1.34,0,0,0
3Month,0.32,0.64,96.62,29.44,0,0.32,0.32,6.72,3.52,0,62.39,3.52,0.96,43.51,24,47.99,2.88,6.4,1.28,0,0.96,1.92,263.32,1.92,4.16,0.64,0,0.64,4.16,79.99,0.32,0,0,2.24,15.36,3.52
22Month,0.55,1.64,81.45,26.24,0,2.19,0,2.73,7.11,3.28,83.09,3.28,2.19,52.48,9.84,59.59,2.19,3.83,0,2.73,1.64,0,189.69,3.28,2.73,1.64,0.55,0,0,14.21,0,0.55,0,0,0,1.64
