stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,8.17,0,0,0,0,0,0,4.09,4.09,0,0,0
72hpf,0,1.07,0,0,0,0,0,41.72,3.21,0,0,0
21Day,0,0,0,0,0,0,1.34,25.43,2.68,1.34,0,0
3Month,0,0.32,0.32,0.64,0.64,0.32,0,0,0,0,2.56,0.32
22Month,0,0,0,0.55,0,0,0,0,0,0,1.09,0
