stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,0,0,2.68,1.34,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,1.34
3Month,0.32,0.32,1.6,0,0,0.32,10.56,0,0,12.48,8,0.64,15.68,1.6,2.88,1.92,0.32,1.6,0.32,2.24,0,0,0.64,8.96,0,5.12
22Month,0,0.55,1.09,0,0.55,0,16.95,0.55,0,19.13,2.19,0,7.65,0.55,1.09,1.64,0,0.55,0,0,0.55,0.55,0,4.37,0,2.19
