stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,16.35,0,0,0,0,0,0,4.09,0,0,4.09,0,0,85.81,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,1.07,13.91,6.42,0,1.07,0,0,3.21,0,0,0,0
21Day,4.02,0,1.34,1.34,0,0,0,1.34,1.34,1.34,0,2.68,8.03,0,9.37,0,0,1.34,1.34,0,1.34,0,0,0,0
3Month,0,0,3.52,0,0.32,4.16,0.64,0,1.6,0.32,1.28,1.28,0.32,0,0.64,0.32,0,0,0.96,3.52,0,0.32,0.32,13.12,0.64
22Month,0,1.09,0.55,0,0,4.92,0,0,0,0,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0.55,0,0
