stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,1.07,0,0,0,1.07,4.28,3.21,0,0,2.14,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,2.68,0,0,1.34,0,0,0,0,0,0,1.34,1.34,1.34,1.34,0,0,0,0,1.34,0,0,1.34
3Month,0,0,0.64,4.8,0.32,0,2.88,0,79.99,1.92,0.32,4.8,0.32,0.64,0.96,0.96,0.32,0.32,0.64,1.6,0.32,0,0.32,0.32,0.32,1.6,2.56,0.96,1.6,0.32
22Month,0,1.64,0,4.37,0,2.19,3.83,0.55,113.7,1.64,0.55,7.65,0.55,0,3.83,2.73,0,8.75,0.55,0,1.09,0,0,0,0,0,0.55,0,0,0.55
