stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,16.35,4.09,8.17,0,0,0,0,4.09,0,0,0,4.09,0,0,12.26,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,29.95,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,4.28,4.28,0,2.14,0,0,0,0,1.07,0,0
21Day,34.8,0,1.34,1.34,2.68,0,0,0,0,0,0,0,0,0,6.69,0,0,0,0,1.34,2.68,0,2.68,1.34,2.68,0,1.34,0,0,0
3Month,0.96,0.32,2.88,0,0,0.64,0,0,3.2,0.64,1.6,0,0.32,1.28,1.28,0.32,0,1.28,4.16,0.96,0,0.32,0.32,0.64,14.08,0.32,0,0.32,3.84,0.32
22Month,0,1.09,0.55,0,0,2.73,0.55,0,17.49,0,0.55,0.55,0,0.55,1.64,0,0.55,0.55,0.55,0,0,0,0,0.55,14.76,0,0,0,0,0.55
