stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,8.56,1.07,0,0,0,0,1.07,0,0,0,0,0
21Day,0,13.39,0,0,0,0,0,0,0,0,0,0,4.02,12.05,0,4.02,0,0,0,4.02,1.34,1.34,0,0,1.34,0,0,0,0,0,0
3Month,1.28,68.47,0.32,0.96,0.32,23.36,0.32,0,6.08,1.28,0,33.91,4.48,8,2.24,0.64,0,2.88,0.32,1.92,0,2.56,0,0,0,4.16,0,0,0.64,1.92,0.32
22Month,4.92,54.12,0,0.55,0,24.6,3.28,1.64,24.05,1.09,1.09,85.28,3.28,8.2,2.19,2.73,2.73,2.73,0,1.64,0,3.28,0.55,0.55,0.55,6.56,0.55,0.55,0,0,0.55
