stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,8.17,0,12.26,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,4.09,12.26,0,0,4.09,28.6,106.25,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,1.07,0,3.21,0,0,0,0,0,0,0,0,0,0,0,4.28,9.63,0,4.28,0,0,1.07,21.4,18.19,0,4.28,0,0,0,0,1.07,1.07,0,0,0
21Day,0,0,0,13.39,1.34,4.02,1.34,0,0,0,0,0,0,1.34,1.34,0,5.35,0,6.69,0,1.34,0,6.69,4.02,0,1.34,1.34,0,2.68,1.34,1.34,0,0,0,0
3Month,0,0.32,0.32,5.12,0,0,0,0.64,0.64,0,0,12.8,3.2,0.32,2.24,0.96,2.56,0.64,2.24,0.64,0.64,0.32,1.28,0,0.32,0.64,0,1.28,0.32,0,0,0,1.28,3.52,0.96
22Month,0,1.64,0,0.55,0,0,0,0,0.55,0.55,0,12.57,0.55,0,2.73,0,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0.55,0,0,0,0,0
