stage,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,0,4.09,0,4.09,0,8.17,0,0
72hpf,0,0,2.14,1.07,1.07,4.28,1.07,2.14,1.07
21Day,0,0,0,1.34,0,1.34,1.34,0,0
3Month,0.32,0,0,0,0,0,0,0,0
22Month,0.55,1.09,0,0,0,0,0,0,0
