stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,2.68,1.34,2.68,0,1.34,17.4,0,0,0,4.02,0,0,2.68,0,1.34,0,2.68,0,0,1.34
3Month,0.32,0.64,1.28,0,13.44,1.6,0,10.56,0.32,0.32,1.28,3.52,0.32,0,0.32,0.32,0,0,0.32,0.32,0.32,1.92
22Month,0,0.55,1.64,0.55,22.96,19.13,5.47,22.96,1.09,0,0,22.41,2.19,0.55,0,1.09,0,0.55,0,2.19,0,1.64
