stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Osteoblast,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,1.07,0,2.14,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,2.68,0,0,0,0,0,0,0,1.34,1.34,0
3Month,0,0,0,0,0,0,1.6,0,0.32,0,0,0.32,0,0,0,0,0,0.32
22Month,1.09,1.64,0,0.55,0.55,1.64,18.04,0,1.09,0,1.09,1.64,1.09,0.55,0.55,0,0,0
