stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.42,0,0,0,0,12.84,14.98,0,0,5.35,0,0,2.14,1.07,0,0,0,0
21Day,1.34,1.34,0,10.71,2.68,0,4.02,0,0,0,0,0,0,1.34,0,1.34,0,0,5.35,0,0,2.68,0,13.39,9.37,0,0,2.68,4.02,0,2.68,0,1.34,0,0,0
3Month,0.32,0.32,0.32,5.44,0,0.32,0.32,0.64,0.64,0,0,12.8,0.32,0.32,1.6,0.32,1.6,0.96,3.52,0,0,0.32,0.64,0.32,0,0.32,0,0,0.64,2.56,0,0,0,0.64,2.88,1.6
22Month,0,0.55,0,2.73,0,1.64,0,1.64,3.83,0.55,0,31.16,1.09,1.64,3.83,0,1.09,3.28,1.64,1.09,0.55,0,0,0.55,0,0.55,0.55,0,0.55,0,0,0,0,0,0,0.55
