stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,49.21,9.63,4.28,0,0,0,0,0,0,0,1.07,0,0,0
21Day,4.02,0,0,1.34,2.68,0,0,0,0,0,1.34,0,0,0,0,2.68,0,4.02,0,0,0,72.28,2.68,1.34,0,0,1.34,0,0,1.34,0,0,0,0,0
3Month,0.32,2.88,0.32,10.56,0,0.64,0.64,0.32,3.2,6.4,11.84,12.16,1.28,6.4,0.96,5.76,2.24,8.32,2.56,0.32,1.28,1554.95,1.28,0,0.64,0.32,0.32,4.8,4.16,1.28,0,0,1.28,2.56,3.84
22Month,0,0.55,0,1.64,0,0,0,0,0,0.55,9.84,1.09,0,0,0,0,1.64,1.64,0,1.09,0,39.36,0,0,0,0,0,0,1.64,0,0.55,0,0,0,0.55
