stage,Epithelial_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,1.07,18.19,0,0,0,0,0,0,0
21Day,6.69,0,0,1.34,1.34,1.34,0,0,1.34,0,0,0,0
3Month,10.24,0,1.28,0.32,0,0,0.32,0.32,0,0.32,6.08,0.32,26.24
