stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,4.09,0,0,4.09,0,24.52,44.95,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,4.28,2.14,2.14,0,0,0,0,0,6.42,25.67,0,1.07,0,278.15,22.47,0,2.14,2.14,0,0,2.14,1.07,1.07,0
21Day,0,0,10.71,5.35,1.34,0,0,0,0,0,1.34,5.35,0,6.69,4.02,56.22,6.69,0,0,4.02,1.34,2.68,0,0,0,0
3Month,0,0,11.52,0,0,5.76,1.28,2.56,0.96,10.88,2.56,2.24,0.64,1.92,10.24,2.56,0.32,0,0,0,0,4.16,0.32,0,0,0.32
22Month,0,0.55,3.28,0.55,0,3.28,0,6.01,0,15.85,2.19,3.28,0,0,2.73,6.56,0,0.55,0.55,0,0,7.11,0,0,0,0
