stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,8.56,0,0,0,0,0,0,0,2.14,1.07,1.07,0,0,0,0,10.7,5.35,1.07,0,0,0,5.35,0,0,0,0
21Day,0,0,0,4.02,5.35,0,0,0,0,0,0,0,1.34,2.68,2.68,0,0,0,0,5.35,0,0,0,1.34,1.34,0,1.34,0,0,0
3Month,0.32,1.28,1.28,24.64,1.6,0.96,1.92,4.16,28.8,5.76,10.56,2.88,3.84,6.08,4.16,0.96,0,1.6,1.6,0.96,0.64,0.96,1.28,4.16,17.28,0.64,0.32,1.28,1636.54,5.12
22Month,0,0,0,2.19,0,0,0,0.55,2.73,1.09,1.09,0.55,0,0.55,0,0,0.55,0,0,0,0,1.09,0,0,12.03,0,0,0,3.28,0
