stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hatching_gland,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia,Spermatocyte
24hpf,0,0,0,0,4.09,0,4.09,16.35,4.09,0,0,0
72hpf,1.07,2.14,1.07,0,0,0,84.51,2.14,1.07,2.14,0,0
21Day,0,1.34,0,0,0,1.34,14.72,0,0,0,1.34,0
3Month,0,0,0,0.32,0,0,0,0,0,0,0,0.64
22Month,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0
